;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
freedom_of_trade_import;Freedom of Trade;x
freedom_of_trade_import_desc; ;x
market_structure_import;Market Strucutre;x
market_structure_import_desc; ;x
business_regulations_import;Business Regulations;x
business_regulations_import_desc; ;x
government_interventionism_import;Government Interventionism;x
government_interventionism_import_desc; ;x
bohemian_golden_age;Bohemian-Austrian Golden Age;x
bohemian_golden_age_desc;We have ushered a Golden Age after our victory over the Poles;x
curtailed_conscription;Curtailed Conscription Efforts;x
curtailed_conscription_desc;With the unpopularity of this war amongst the nobility and the general populace, King Wladislaus the IVth promised to not draft civilians into the war effort. This drawback is not permanent, as the King slid a clause that if this war were to last past June, he would have the ability to conscript men into the army.;x
center_of_baltic_trade;Hub of Baltic trade;x
hanseatic_city;Hanseatic Trade Center;x
billions_must_fight;The Volkstrum;x
billions_must_fight_desc;Billions must fight...;x
wendish_oppression;Wendish Oppression;x
uneasy_plc_modifier;Uneasy Union;x
uneasy_plc_modifier_desc;Although we have succeeded in unifying our holdings, this has not been done under ideal circumstances and the prestige of the crown is greatly harmed due to Bohemia still being under the Premyslid.;x
roman_architecture;Roman Architecture;x
roman_architecture_desc;Rome's architecture was very much influenced by Ancient Greece's architecture style, whilst also being beautiful it also served it's purpose.;x
mongol_larp;Mongol Militarism;x
mongol_larp_desc;Although we have settled down into civilization, we have not ceased to require Mongol men to serve in the army for their early adulthood.;x
grigma_male;Grigma Male;x
grigma_male_desc;Forgotten about, the Great Sigmanistani race has been resurgent. May Allah smite the infidels.;x
minor_resurgent_capital;Minor resurgence of the Rus capital;x
resurgent_capital;Resurgence of the Rus capital;x
raiding_target;Raiding Target;x
african_grain;The Grain Dole;x
african_grain_desc;With our increased grain production in North Africa, we have reinstated the Grain Dole, a long staple of Roman rule;x
resettle_africa_2;Growth of North Africa;x
andalusian_caliphate;The Political Center of Islam;;;;;;;;;;;;;
andalusian_caliphate_desc;Our rise to Great Power status has led us to be the most powerful country of the islamic world;;;;;;;;;;;;;
sicilian_sulphur;Sicilian Sulphur;x
sicilian_sulphur_desc;The Sicilian Method is currently the only way of extracting sulphur from volcanic rock, this gives us greater control over the sulphur market in europe.;x
frasch_process;Frasch Process;x
frasch_process_desc; ;x
francization_of_the_picards;Francization of the Picards;;;;;;;;;;;;;
francization_of_the_picards_desc; ;;;;;;;;;;;;;
