;;;;;;;;;;;;;;x,,,
PROV3333;Danube River;x;;;;;;;;;;;;
PROV3334;East Danzig;x;;;;;;;;;;;;
PROV3335;Rhine River;x;;;;;;;;;;;;
PROV3336;Elbe River;x;;;;;;;;;;;;
PROV3337;Oder River;x;;;;;;;;;;;;
PROV3338;Vistula River;x;;;;;;;;;;;;
PROV3339;Ardéche;x;;;;;;;;;;;;
PROV3340;Seine River;x;;;;;;;;;;;;
PROV3341;Loire River;x;;;;;;;;;;;;
PROV3342;Rhone River;x;;;;;;;;;;;;
PROV3343;Po River;x;;;;;;;;;;;;
PROV3344;Ebro River;x;;;;;;;;;;;;
PROV3345;Dniepro River;x;;;;;;;;;;;;
PROV3346;Daugava River;x;;;;;;;;;;;;
PROV3347;Volga River;x;;;;;;;;;;;;
PROV3348;Heilong Jiang;x;;;;;;;;;;;;
PROV3349;Amnok-Duman River;x;;;;;;;;;;;;
PROV3350;Liao River;x;;;;;;;;;;;;
PROV3351;Yellow River;x;;;;;;;;;;;;
PROV3352;Yangtze River;x;;;;;;;;;;;;
PROV3353;Pearl River;x;;;;;;;;;;;;
PROV3354;Mekong River;x;;;;;;;;;;;;
PROV3355;Ganges River;x;;;;;;;;;;;;
PROV3356;Indus River;x;;;;;;;;;;;;
PROV3357;Tigris-Euphrates Rivers;x;;;;;;;;;;;;
